" Copy"," Kopírovať"
"Not Activated","Neaktivované"
"Not Sent","Neodoslané"
"Pause","Pauza"
"Paused","Pozastavené"
"Please enter a valid email address.","Vložte prosím platnú emailovú adresu."
"Please enter new template name","Zadajte prosím nový názov šablóny"
"Please refer to exeption.log",""
"Please select subscriber(s)","Vyberte prosím odberateľa/ov"
"Preview","Náhľad"
"Preview Template","Náhľad na šablónu"
"Processed","Spracované"
"Queue Date Start","Začiatočný dátum fronty"
"Queue Finish","Koniec fronty"
"Queue Information","Informácie o fronte"
"Queue Newsletter...","Fronta spravodaja..."
"Queue Start","Začiatok fronty"
"Queue Subject","Predmet fronty"
"Recipients","Prijímatelia"
"Reset","Vynulovať"
"Resume","Pokračovať"
"Return HTML Version","Vrátiť HTML verziu"
"Save As","Uložiť ako"
"Save Newsletter","Uložiť spravodaj"
"Save Template","Uložiť šablónu"
"Save and Resume","Uložiť a pokračovať"
"Selected problem subscribers have been unsubscribed.","Vybraní problémoví odberatelia boli úspešne odstránení."
"Selected problems have been deleted.","Vybrané problémy boli úspešne zmazané."
"Sender","Odosielateľ"
"Sender Email","E-mail odosielateľa"
"Sender Name","Meno odosielateľa"
"Sending","Odosiela sa"
"Sent","Odoslané"
"Sign Up for Our Newsletter:","Prihlásiť k odberu spravodaja:"
"Sign up for our newsletter","Prihlásiť k odberu spravodaja:"
"Sign Up for Our Newsletter","Prihlásiť k odberu spravodaja:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Ospravedlňujeme sa, ale nie sú povolené odbery pre hostí. <a href=""%s"">Zaregistrujte sa</a>, prosím."
"Start","Štart"
"Status","Stav"
"Store","Obchod"
"Store View","Zobrazenie obchodu"
"Subject","Predmet"
"Submit","Odoslať"
"Subscribe","Prihlásiť"
"Subscribed","Prihlásený"
"Subscriber","Odberateľ"
"Subscribers","Odberatelia"
"Subscribers From","Odberatelia z"
"Subscription Options","Možnosti odberu"
"Success Email Sender","Odosielateľ e-mailu úspešného prihlásenia k odberu spravodaja"
"Success Email Template","Šablóna e-mailu úspešného prihlásenia k odberu spravodaja"
"Template Content","Obsah šablóny"
"Template Information","Informácie o šablóne"
"Template Name","Meno šablóny"
"Template Styles","Šablóny štýlov"
"Template Subject","Predmet šablóny"
"Template Type","Typ šablóny"
"Thank you for your subscription.","Ďakujeme za Vašu prihlášku."
"The subscription has been removed.","Odber bol úspešne zrušený."
"The subscription has been saved.","Odber bol úspešne uložený."
"There was a problem with the subscription.","Vyskytol sa problém s odberom."
"There was a problem with the subscription: %s","Vyskytol sa problém s odberom: %s"
"There was a problem with the un-subscription.","Pri rušení odberu došlo k problému."
"This email address is already assigned to another user.","Tato emailová už je používaná iným užívateľom"
"Type","Typ"
"Unconfirmed","Nepotvrdene"
"Unsubscribe","Zrušiť odber"
"Unsubscribe Selected","Odhlásiť vybrané"
"Unsubscribed","Odber zrušený"
"Unsubscription Email Sender","Odosielateľ odhlasovacieho e-mailu"
"Unsubscription Email Template","Šablóna odhlasovacieho e-mailu"
"View Newsletter","Zobraziť spravodaj"
"Website","Webstránka"
"You have been unsubscribed.","Váš odber bol úspešne zrušený."
"Your subscription has been confirmed.","Vaše prihlásenie bolo úspešne potvrdené."
"#~ ""<!-- This tag is for unsubscribe link  --> Follow this link to unsubscribe ""#~ ""<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var ""#~ ""subscriber.getUnsubscriptionLink()}}</a>""","#~ ""<!-- Tento odkaz slúži pre odhlásenie sa z odberu noviniek --> Nasledujte ""#~ ""tento odkaz pre odhlásenie sa z odberu noviniek <a href=""{{var ""#~ ""subscriber.getUnsubscriptionLink()}}"">{{var ""#~ ""subscriber.getUnsubscriptionLink()}}</a>"""
"#~ ""Sorry, but your can not subscribe email adress assigned to another user.""","#~ ""Ospravedlňujeme sa, ale nemôžete sa prihlásiť k odberu na email, ktorý ""#~ ""používa iný užívateľ."""

"SUBSCRIBE TO NEWSLETTER","ODOBERAJTE NOVINKY E-MAILOM"
"Enter your email address","Sem napíšte svoju mailovú adresu"

"Sign Up for Newsletter", "Prihlásiť k odberu spravodaja"
